INDEX,BARCODE_TEXT,BARCODE_FORMAT,STATUS,LOCATION
"1","case-234","DATAMATRIX","Recognized","[(135,226),(180,233),(172,276),(127,269)]"
"2","case-235","DATAMATRIX","Recognized","[(225,226),(268,236),(258,278),(214,269)]"
"3","case-160","DATAMATRIX","Duplicated","[(352,273),(307,275),(306,232),(351,230)]"
"4","case-060","DATAMATRIX","Recognized","[(396,222),(441,226),(438,267),(393,262)]"
"5","case-183","DATAMATRIX","Recognized","[(537,241),(518,278),(477,259),(496,222)]"
"6","case-176","DATAMATRIX","Recognized","[(610,223),(618,263),(575,270),(566,231)]"
"7","case-163","DATAMATRIX","Recognized","[(659,226),(703,224),(707,268),(662,270)]"
"8","case-118","DATAMATRIX","Recognized","[(777,280),(741,257),(766,223),(803,248)]"
"9","case-157","DATAMATRIX","Recognized","[(882,277),(837,280),(833,237),(877,233)]"
"10","case-055","DATAMATRIX","Recognized","[(925,280),(921,236),(967,233),(970,277)]"
"11","case-144","DATAMATRIX","Recognized","[(1148,278),(1107,271),(1115,228),(1155,234)]"
"12","case-149","DATAMATRIX","Recognized","[(1244,267),(1204,281),(1189,239),(1229,225)]"
"13","case-011","DATAMATRIX","Recognized","[(1337,255),(1304,282),(1276,248),(1309,220)]"
"14","case-045","DATAMATRIX","Recognized","[(1373,227),(1416,222),(1422,266),(1379,271)]"
"15","case-043","DATAMATRIX","Recognized","[(1456,267),(1464,225),(1507,233),(1499,275)]"
"16","case-076","DATAMATRIX","Recognized","[(1575,277),(1536,257),(1555,220),(1594,240)]"
"17","case-015","DATAMATRIX","Recognized","[(1674,226),(1668,268),(1625,261),(1630,219)]"
"18","case-056","DATAMATRIX","Recognized","[(1768,242),(1739,273),(1706,244),(1735,213)]"
"19","case-048","DATAMATRIX","Recognized","[(1836,217),(1850,258),(1808,269),(1795,227)]"
"20","case-058","DATAMATRIX","Recognized","[(1932,260),(1890,262),(1887,218),(1929,216)]"
"21","case-093","DATAMATRIX","Recognized","[(172,360),(126,358),(130,314),(175,317)]"
"22","case-090","DATAMATRIX","Recognized","[(207,321),(250,307),(265,349),(222,364)]"
"23","case-117","DATAMATRIX","Recognized","[(346,361),(302,351),(312,307),(356,317)]"
"24","case-200","DATAMATRIX","Recognized","[(443,350),(400,358),(390,315),(435,307)]"
"25","case-218","DATAMATRIX","Recognized","[(523,306),(528,347),(482,352),(478,311)]"
"26","case-061","DATAMATRIX","Recognized","[(584,360),(561,323),(600,301),(623,337)]"
"27","case-142","DATAMATRIX","Recognized","[(705,313),(706,358),(660,358),(659,314)]"
"28","case-139","DATAMATRIX","Recognized","[(749,354),(749,313),(795,313),(794,356)]"
"29","case-082","DATAMATRIX","Recognized","[(852,306),(886,336),(855,369),(821,340)]"
"30","case-216","DATAMATRIX","Recognized","[(920,331),(963,318),(977,360),(935,373)]"
"31","case-220","DATAMATRIX","Recognized","[(1171,354),(1126,361),(1115,318),(1160,311)]"
"32","case-068","DATAMATRIX","Recognized","[(1259,353),(1215,363),(1202,320),(1246,311)]"
"33","case-206","DATAMATRIX","Recognized","[(1327,314),(1341,358),(1298,369),(1284,325)]"
"34","case-150","DATAMATRIX","Duplicated","[(1388,299),(1421,327),(1390,360),(1359,332)]"
"35","case-171","DATAMATRIX","Recognized","[(1510,321),(1499,364),(1456,350),(1467,308)]"
